index,french,english,audio,Semantic Domain,Bloom's Category,Aspectual Class
710,déshabiller,to undress,french_audio/déshabiller.mp3,Bodily Function,Application,Achievement
711,guider,to guide,french_audio/guider.mp3,Motion/Space,Application,Activity
712,abriter,to shelter,french_audio/abriter.mp3,Existence/State,Knowledge,State
713,raccrocher,to hang up,french_audio/raccrocher.mp3,Communication,Application,Achievement
714,revêtir,to put on/don,french_audio/revêtir.mp3,Bodily Function,Application,Accomplishment
715,empoigner,to grab,french_audio/empoigner.mp3,Physical Contact,Application,Achievement
716,comparer,to compare,french_audio/comparer.mp3,Cognition,Analysis,Activity
717,épargner,to save/spare,french_audio/épargner.mp3,Possession,Application,Activity
718,procéder,to proceed,french_audio/procéder.mp3,Activity/Social,Application,Activity
719,cueillir,to pluck/gather,french_audio/cueillir.mp3,Physical Contact,Knowledge,Achievement
720,relire,to reread,french_audio/relire.mp3,Communication,Application,Activity
721,circuler,to circulate,french_audio/circuler.mp3,Motion/Space,Knowledge,Activity
722,aboutir,to end up/succeed,french_audio/aboutir.mp3,Existence/State,Knowledge,Achievement
723,glacer,to freeze/chill,french_audio/glacer.mp3,Creation/Change,Knowledge,Achievement
724,effondrer,to collapse (inward) (physical or emotional),french_audio/effondrer.mp3,Existence/State,Knowledge,Achievement
725,effleurer,to brush against,french_audio/effleurer.mp3,Physical Contact,Knowledge,Achievement
726,vaincre,to defeat,french_audio/vaincre.mp3,Activity/Social,Application,Achievement
727,nager,to swim,french_audio/nager.mp3,Motion/Space,Application,Activity
728,témoigner,to testify,french_audio/témoigner.mp3,Communication,Application,Activity
729,réjouir,to rejoice,french_audio/réjouir.mp3,Emotion/Affect,Knowledge,Achievement
730,distribuer,to distribute,french_audio/distribuer.mp3,Possession,Application,Activity
731,frôler,to graze,french_audio/frôler.mp3,Physical Contact,Knowledge,Achievement
732,semer,to sow/scatter,french_audio/semer.mp3,Creation/Change,Application,Activity
733,combler,to fill/fulfill,french_audio/combler.mp3,Emotion/Affect,Application,Accomplishment
734,affecter,to affect/assign,french_audio/affecter.mp3,Emotion/Affect,Analysis,State
735,retentir,to ring out,french_audio/retentir.mp3,Perception,Knowledge,Activity
736,suggérer,to suggest,french_audio/suggérer.mp3,Communication,Application,Activity
737,réfugier,to take refuge,french_audio/réfugier.mp3,Motion/Space,Knowledge,Achievement
738,réparer,to repair,french_audio/réparer.mp3,Creation/Change,Application,Accomplishment
739,évanouir,to faint/vanish,french_audio/évanouir.mp3,Bodily Function,Knowledge,Achievement
740,irriter,to irritate,french_audio/irriter.mp3,Emotion/Affect,Application,Activity
741,accroupir,to crouch,french_audio/accroupir.mp3,Motion/Space,Knowledge,Achievement
742,trancher,to slice/decide,french_audio/trancher.mp3,Physical Contact,Application,Achievement
743,contraindre,to constrain,french_audio/contraindre.mp3,Activity/Social,Application,State
744,féliciter,to congratulate,french_audio/féliciter.mp3,Communication,Application,Achievement
745,dévisager,to stare at,french_audio/dévisager.mp3,Perception,Application,Activity
746,pratiquer,to practice,french_audio/pratiquer.mp3,Activity/Social,Application,Activity
747,vibrer,to vibrate,french_audio/vibrer.mp3,Perception,Knowledge,Activity
748,opérer,to operate,french_audio/opérer.mp3,Activity/Social,Application,Activity
749,bâtir,to build,french_audio/bâtir.mp3,Creation/Change,Synthesis,Accomplishment
750,accumuler,to accumulate,french_audio/accumuler.mp3,Possession,Knowledge,Accomplishment
751,venger,to avenge,french_audio/venger.mp3,Activity/Social,Application,Achievement
752,fonctionner,to function/work,french_audio/fonctionner.mp3,Existence/State,Knowledge,Activity
753,renifler,to sniff/snuffle,french_audio/renifler.mp3,Perception,Knowledge,Activity
754,transmettre,to transmit,french_audio/transmettre.mp3,Communication,Application,Achievement
755,lasser,to tire/bore,french_audio/lasser.mp3,Emotion/Affect,Knowledge,State
756,impressionner,to impress,french_audio/impressionner.mp3,Emotion/Affect,Evaluation,Achievement
757,frémir,to shudder/quiver,french_audio/frémir.mp3,Bodily Function,Knowledge,Activity
758,encadrer,to frame/supervise,french_audio/encadrer.mp3,Activity/Social,Application,Activity
759,renseigner,to inform/provide info,french_audio/renseigner.mp3,Communication,Knowledge,Achievement
760,bavarder,to chat,french_audio/bavarder.mp3,Communication,Application,Activity
761,brouiller,to scramble/blur,french_audio/brouiller.mp3,Creation/Change,Analysis,Achievement
762,exploser,to explode,french_audio/exploser.mp3,Creation/Change,Knowledge,Achievement
763,flatter,to flatter,french_audio/flatter.mp3,Communication,Application,Activity
764,hâter,to hasten,french_audio/hâter.mp3,Aspectual,Application,Activity
765,expédier,to ship/dispatch,french_audio/expédier.mp3,Communication,Application,Achievement
766,énerver,to irritate/annoy,french_audio/énerver.mp3,Emotion/Affect,Knowledge,Achievement
767,ménager,to spare/save,french_audio/ménager.mp3,Activity/Social,Evaluation,State
768,pincer,to pinch,french_audio/pincer.mp3,Physical Contact,Application,Achievement
769,détendre,to relax,french_audio/détendre.mp3,Bodily Function,Application,Achievement
770,nier,to deny,french_audio/nier.mp3,Communication,Evaluation,Achievement
771,fourrer,to stuff/shove,french_audio/fourrer.mp3,Physical Contact,Application,Achievement
772,ébranler,to shake/weaken,french_audio/ébranler.mp3,Physical Contact,Application,Achievement
773,isoler,to isolate,french_audio/isoler.mp3,Activity/Social,Analysis,Achievement
774,réagir,to react,french_audio/réagir.mp3,Activity/Social,Application,Achievement
775,boucler,to buckle/loop/finish,french_audio/boucler.mp3,Physical Contact,Application,Achievement
776,agenouiller,to kneel,french_audio/agenouiller.mp3,Motion/Space,Application,Achievement
777,calculer,to calculate,french_audio/calculer.mp3,Cognition,Application,Activity
778,susciter,to arouse/provoke,french_audio/susciter.mp3,Emotion/Affect,Application,Achievement
779,vomir,to vomit,french_audio/vomir.mp3,Bodily Function,Knowledge,Achievement
780,vanter,to boast/praise,french_audio/vanter.mp3,Communication,Application,Activity
781,tousser,to cough,french_audio/tousser.mp3,Bodily Function,Knowledge,Achievement
782,lécher,to lick,french_audio/lécher.mp3,Physical Contact,Knowledge,Activity
783,bloquer,to block,french_audio/bloquer.mp3,Physical Contact,Application,Achievement
784,enseigner,to teach,french_audio/enseigner.mp3,Communication,Application,Activity
785,multiplier,to multiply,french_audio/multiplier.mp3,Cognition,Application,Activity
786,déclencher,to trigger,french_audio/déclencher.mp3,Creation/Change,Application,Achievement
787,dépêcher,to hurry,french_audio/dépêcher.mp3,Motion/Space,Application,Achievement
788,mélanger,to mix,french_audio/mélanger.mp3,Creation/Change,Application,Activity
789,doubler,to double/overtake,french_audio/doubler.mp3,Motion/Space,Application,Achievement
790,égarer,to mislead/lose,french_audio/égarer.mp3,Motion/Space,Knowledge,Achievement
791,gronder,to scold,french_audio/gronder.mp3,Communication,Application,Activity
792,rater,to miss/fail,french_audio/rater.mp3,Aspectual,Knowledge,Achievement
793,acharner,to be relentless,french_audio/acharner.mp3,Emotion/Affect,Evaluation,State
794,chier,to shit (slang),french_audio/chier.mp3,Bodily Function,Knowledge,Achievement
795,exagérer,to exaggerate,french_audio/exagérer.mp3,Communication,Evaluation,Activity
796,souligner,to underline/stress,french_audio/souligner.mp3,Communication,Application,Achievement
797,rechercher,to research/search,french_audio/rechercher.mp3,Cognition,Analysis,Activity
798,enchanter,to delight,french_audio/enchanter.mp3,Emotion/Affect,Knowledge,Achievement
799,affronter,to confront,french_audio/affronter.mp3,Activity/Social,Application,Achievement
800,rétablir,to restore,french_audio/rétablir.mp3,Creation/Change,Application,Accomplishment
801,hisser,to hoist,french_audio/hisser.mp3,Motion/Space,Application,Achievement
802,engloutir,to swallow up,french_audio/engloutir.mp3,Physical Contact,Knowledge,Achievement
803,séduire,to seduce,french_audio/séduire.mp3,Emotion/Affect,Application,Activity
804,refléter,to reflect,french_audio/refléter.mp3,Perception,Analysis,State
805,réchauffer,to warm up,french_audio/réchauffer.mp3,Creation/Change,Application,Activity
806,rédiger,to write/draft,french_audio/rédiger.mp3,Communication,Synthesis,Accomplishment
807,brandir,to brandish,french_audio/brandir.mp3,Physical Contact,Application,Activity
808,disputer,to argue/compete,french_audio/disputer.mp3,Communication,Application,Activity
809,étrangler,to strangle,french_audio/étrangler.mp3,Physical Contact,Knowledge,Achievement
810,fâcher,to make angry,french_audio/fâcher.mp3,Emotion/Affect,Knowledge,Achievement
811,pourrir,to rot,french_audio/pourrir.mp3,Existence/State,Knowledge,Accomplishment
812,attribuer,to attribute,french_audio/attribuer.mp3,Cognition,Analysis,Achievement
813,saigner,to bleed,french_audio/saigner.mp3,Bodily Function,Knowledge,Activity
814,planquer,to hide (slang),french_audio/planquer.mp3,Physical Contact,Application,Achievement
815,rabattre,to pull down/fold,french_audio/rabattre.mp3,Physical Contact,Application,Achievement
816,enchaîner,to chain/sequence,french_audio/enchaîner.mp3,Physical Contact,Application,Activity
817,décevoir,to disappoint,french_audio/décevoir.mp3,Emotion/Affect,Knowledge,Achievement
818,informer,to inform,french_audio/informer.mp3,Communication,Knowledge,Achievement
819,abîmer,to damage,french_audio/abîmer.mp3,Physical Contact,Application,Achievement
820,buter,to stumble/prop up,french_audio/buter.mp3,Motion/Space,Knowledge,Achievement
821,tâter,to feel/touch,french_audio/tâter.mp3,Perception,Application,Activity
822,feuilleter,to flip through,french_audio/feuilleter.mp3,Perception,Application,Activity
823,développer,to develop,french_audio/développer.mp3,Creation/Change,Synthesis,Accomplishment
824,recommander,to recommend,french_audio/recommander.mp3,Communication,Evaluation,Achievement
825,accabler,to overwhelm,french_audio/accabler.mp3,Emotion/Affect,Knowledge,State
826,boucher,to cork/block,french_audio/boucher.mp3,Physical Contact,Application,Achievement
827,feindre,to feign/pretend,french_audio/feindre.mp3,Cognition,Application,Activity
828,flanquer,to fling/give,french_audio/flanquer.mp3,Physical Contact,Application,Achievement
829,préserver,to preserve,french_audio/préserver.mp3,Creation/Change,Application,State
830,contrôler,to control,french_audio/contrôler.mp3,Activity/Social,Evaluation,Activity
831,cerner,to surround/define,french_audio/cerner.mp3,Cognition,Analysis,Achievement
832,attendrir,to soften/move,french_audio/attendrir.mp3,Emotion/Affect,Application,Achievement
833,augmenter,to increase,french_audio/augmenter.mp3,Existence/State,Knowledge,Activity
834,autoriser,to authorize,french_audio/autoriser.mp3,Communication,Application,Achievement
835,émerveiller,to marvel,french_audio/émerveiller.mp3,Emotion/Affect,Evaluation,Achievement
836,débrouiller,to manage/untangle,french_audio/débrouiller.mp3,Cognition,Application,Activity
837,ruer,to kick/rush,french_audio/ruer.mp3,Motion/Space,Application,Activity
838,coudre,to sew,french_audio/coudre.mp3,Creation/Change,Application,Accomplishment
839,revivre,to relive,french_audio/revivre.mp3,Cognition,Knowledge,Activity
840,déplaire,to displease,french_audio/déplaire.mp3,Emotion/Affect,Knowledge,State
841,piétiner,to trample/stall,french_audio/piétiner.mp3,Motion/Space,Application,Activity
842,échouer,to fail,french_audio/échouer.mp3,Aspectual,Knowledge,Achievement
843,affoler,to panic,french_audio/affoler.mp3,Emotion/Affect,Knowledge,Achievement
844,dépouiller,to strip/skin,french_audio/dépouiller.mp3,Physical Contact,Analysis,Achievement
845,relier,to connect,french_audio/relier.mp3,Physical Contact,Application,Achievement
846,cuire,to cook,french_audio/cuire.mp3,Creation/Change,Application,Accomplishment
847,frissonner,to shiver,french_audio/frissonner.mp3,Bodily Function,Knowledge,Activity
848,résigner,to resign,french_audio/résigner.mp3,Cognition,Evaluation,Achievement
849,élancer,to shoot forward,french_audio/élancer.mp3,Motion/Space,Application,Achievement
850,cirer,to wax/polish,french_audio/cirer.mp3,Physical Contact,Application,Accomplishment
851,sacrifier,to sacrifice,french_audio/sacrifier.mp3,Activity/Social,Evaluation,Achievement
852,décorer,to decorate,french_audio/décorer.mp3,Creation/Change,Application,Accomplishment
853,punir,to punish,french_audio/punir.mp3,Activity/Social,Application,Achievement
854,célébrer,to celebrate,french_audio/célébrer.mp3,Activity/Social,Application,Activity
855,rôder,to prowl,french_audio/rôder.mp3,Motion/Space,Application,Activity
856,illuminer,to light up,french_audio/illuminer.mp3,Perception,Application,Achievement
857,commenter,to comment,french_audio/commenter.mp3,Communication,Analysis,Activity
858,négliger,to neglect,french_audio/négliger.mp3,Activity/Social,Evaluation,State
859,parfaire,to perfect,french_audio/parfaire.mp3,Creation/Change,Synthesis,Accomplishment
860,arroser,to water,french_audio/arroser.mp3,Physical Contact,Application,Activity
861,éblouir,to dazzle,french_audio/éblouir.mp3,Perception,Knowledge,Achievement
862,décoller,to unstick/take off,french_audio/décoller.mp3,Motion/Space,Application,Achievement
863,intriguer,to intrigue,french_audio/intriguer.mp3,Emotion/Affect,Analysis,State
864,courber,to bend,french_audio/courber.mp3,Physical Contact,Application,Activity
865,peupler,to populate,french_audio/peupler.mp3,Existence/State,Knowledge,State
866,parer,to adorn/parry,french_audio/parer.mp3,Creation/Change,Application,Achievement
867,exaspérer,to exasperate,french_audio/exaspérer.mp3,Emotion/Affect,Knowledge,Achievement
868,dissiper,to dissipate,french_audio/dissiper.mp3,Existence/State,Knowledge,Achievement
869,entrouvrir,to half-open,french_audio/entrouvrir.mp3,Physical Contact,Application,Achievement
870,contourner,to bypass,french_audio/contourner.mp3,Motion/Space,Application,Activity
871,raidir,to stiffen,french_audio/raidir.mp3,Bodily Function,Knowledge,Achievement
872,grincer,to creak/grind,french_audio/grincer.mp3,Perception,Knowledge,Activity
873,correspondre,to correspond,french_audio/correspondre.mp3,Communication,Analysis,State
874,déplier,to unfold,french_audio/déplier.mp3,Physical Contact,Application,Achievement
875,rouiller,to rust,french_audio/rouiller.mp3,Existence/State,Knowledge,Accomplishment
876,renouveler,to renew,french_audio/renouveler.mp3,Creation/Change,Application,Achievement
877,clouer,to nail,french_audio/clouer.mp3,Physical Contact,Application,Achievement
878,ramper,to crawl,french_audio/ramper.mp3,Motion/Space,Application,Activity
879,sombrer,to sink,french_audio/sombrer.mp3,Motion/Space,Knowledge,Achievement
880,convoquer,to summon,french_audio/convoquer.mp3,Communication,Application,Achievement
881,élargir,to widen,french_audio/élargir.mp3,Creation/Change,Application,Achievement
882,afficher,to display,french_audio/afficher.mp3,Communication,Application,Achievement
883,limiter,to limit,french_audio/limiter.mp3,Existence/State,Analysis,State
884,tasser,to pack down,french_audio/tasser.mp3,Physical Contact,Application,Achievement
885,violer,to violate/rape,french_audio/violer.mp3,Activity/Social,Application,Achievement
886,triompher,to triumph,french_audio/triompher.mp3,Activity/Social,Evaluation,Achievement
887,pressentir,to have a foreboding,french_audio/pressentir.mp3,Cognition,Evaluation,State
888,masquer,to mask/hide,french_audio/masquer.mp3,Physical Contact,Application,Achievement
889,ruisseler,to stream/flow,french_audio/ruisseler.mp3,Motion/Space,Knowledge,Activity
890,accourir,to run up/hasten,french_audio/accourir.mp3,Motion/Space,Knowledge,Achievement
891,dénoncer,to denounce,french_audio/dénoncer.mp3,Communication,Evaluation,Achievement
892,exclamer,to exclaim,french_audio/exclamer.mp3,Communication,Application,Activity
893,préoccuper,to preoccupy,french_audio/préoccuper.mp3,Emotion/Affect,Knowledge,State
894,identifier,to identify,french_audio/identifier.mp3,Cognition,Knowledge,Achievement
895,bénir,to bless,french_audio/bénir.mp3,Communication,Application,Achievement
896,vouer,to vow/dedicate,french_audio/vouer.mp3,Communication,Evaluation,Achievement
897,concentrer,to concentrate,french_audio/concentrer.mp3,Cognition,Analysis,Activity
898,disperser,to disperse,french_audio/disperser.mp3,Motion/Space,Application,Achievement
899,compliquer,to complicate,french_audio/compliquer.mp3,Creation/Change,Analysis,Achievement
900,cligner,to blink/wink,french_audio/cligner.mp3,Bodily Function,Knowledge,Achievement
901,modifier,to modify,french_audio/modifier.mp3,Creation/Change,Application,Achievement
902,contrer,to counter,french_audio/contrer.mp3,Activity/Social,Application,Achievement
903,puer,to stink,french_audio/puer.mp3,Perception,Knowledge,State
904,engouffrer,to swallow up,french_audio/engouffrer.mp3,Physical Contact,Knowledge,Achievement
905,bâiller,to yawn,french_audio/bâiller.mp3,Bodily Function,Knowledge,Achievement
906,sucer,to suck,french_audio/sucer.mp3,Physical Contact,Knowledge,Activity
907,gâcher,to waste/spoil,french_audio/gâcher.mp3,Creation/Change,Evaluation,Achievement
908,rouvrir,to reopen,french_audio/rouvrir.mp3,Physical Contact,Application,Achievement
909,graver,to engrave,french_audio/graver.mp3,Creation/Change,Application,Accomplishment
910,insulter,to insult,french_audio/insulter.mp3,Communication,Application,Activity
911,fusiller,to shoot,french_audio/fusiller.mp3,Physical Contact,Application,Achievement
912,ronfler,to snore,french_audio/ronfler.mp3,Bodily Function,Knowledge,Activity
913,contribuer,to contribute,french_audio/contribuer.mp3,Activity/Social,Application,Activity
914,bercer,to rock/cradle,french_audio/bercer.mp3,Physical Contact,Application,Activity
915,abaisser,to lower,french_audio/abaisser.mp3,Motion/Space,Application,Achievement
916,garer,to park,french_audio/garer.mp3,Motion/Space,Application,Achievement
917,applaudir,to applaud,french_audio/applaudir.mp3,Communication,Application,Achievement
918,accélérer,to accelerate,french_audio/accélérer.mp3,Motion/Space,Application,Activity
919,répliquer,to reply/retort,french_audio/répliquer.mp3,Communication,Application,Activity
920,ressusciter,to resurrect,french_audio/ressusciter.mp3,Existence/State,Knowledge,Achievement
921,renforcer,to reinforce,french_audio/renforcer.mp3,Creation/Change,Application,Achievement
922,caler,to wedge/stall,french_audio/caler.mp3,Physical Contact,Application,Achievement
923,accouder,to lean on elbows,french_audio/accouder.mp3,Motion/Space,Application,Achievement
924,imprégner,to soak/imbue,french_audio/imprégner.mp3,Physical Contact,Knowledge,Accomplishment
925,conquérir,to conquer,french_audio/conquérir.mp3,Activity/Social,Application,Achievement
926,agripper,to grab/clutch,french_audio/agripper.mp3,Physical Contact,Application,Achievement
927,dégoûter,to disgust,french_audio/dégoûter.mp3,Emotion/Affect,Knowledge,Achievement
928,passionner,to fascinate,french_audio/passionner.mp3,Emotion/Affect,Knowledge,State
929,désespérer,to despair,french_audio/désespérer.mp3,Emotion/Affect,Knowledge,State
930,fouetter,to whip,french_audio/fouetter.mp3,Physical Contact,Application,Activity
931,faufiler,to slip through,french_audio/faufiler.mp3,Motion/Space,Application,Activity
932,dater,to date,french_audio/dater.mp3,Existence/State,Analysis,State
933,assommer,to knock out,french_audio/assommer.mp3,Physical Contact,Application,Achievement
934,indigner,to outrage,french_audio/indigner.mp3,Emotion/Affect,Evaluation,Achievement
935,émettre,to emit/issue,french_audio/émettre.mp3,Communication,Application,Achievement
936,gravir,to climb,french_audio/gravir.mp3,Motion/Space,Application,Activity
937,intimider,to intimidate,french_audio/intimider.mp3,Emotion/Affect,Application,Achievement
938,subsister,to subsist/remain,french_audio/subsister.mp3,Existence/State,Knowledge,State
939,geler,to freeze,french_audio/geler.mp3,Creation/Change,Knowledge,Achievement
940,déguiser,to disguise,french_audio/déguiser.mp3,Creation/Change,Application,Achievement
941,étreindre,to embrace/clasp,french_audio/étreindre.mp3,Physical Contact,Application,Achievement
942,enrouler,to roll up,french_audio/enrouler.mp3,Physical Contact,Application,Achievement
943,adosser,to lean back,french_audio/adosser.mp3,Motion/Space,Application,Achievement
944,esquisser,to sketch/outline,french_audio/esquisser.mp3,Creation/Change,Synthesis,Accomplishment
945,sacrer,to crown/consecrate,french_audio/sacrer.mp3,Activity/Social,Application,Achievement
946,garantir,to guarantee,french_audio/garantir.mp3,Communication,Application,State
947,dévaler,to hurtle down,french_audio/dévaler.mp3,Motion/Space,Knowledge,Activity
948,diviser,to divide,french_audio/diviser.mp3,Creation/Change,Analysis,Achievement
949,compromettre,to compromise,french_audio/compromettre.mp3,Activity/Social,Evaluation,Achievement
950,tapoter,to pat/tap,french_audio/tapoter.mp3,Physical Contact,Application,Activity
951,planer,to glide/hover,french_audio/planer.mp3,Motion/Space,Knowledge,Activity
952,tacher,to stain,french_audio/tacher.mp3,Physical Contact,Knowledge,Achievement
953,obstiner,to persist,french_audio/obstiner.mp3,Emotion/Affect,Evaluation,State
954,plisser,to pleat/wrinkle,french_audio/plisser.mp3,Physical Contact,Application,Achievement
955,fleurir,to bloom,french_audio/fleurir.mp3,Existence/State,Knowledge,Activity
956,proclamer,to proclaim,french_audio/proclamer.mp3,Communication,Application,Achievement
957,garnir,to garnish/trim,french_audio/garnir.mp3,Creation/Change,Application,Accomplishment
958,baptiser,to baptize/name,french_audio/baptiser.mp3,Communication,Application,Achievement
959,tourmenter,to torment,french_audio/tourmenter.mp3,Emotion/Affect,Knowledge,Activity
960,reconstituer,to reconstruct,french_audio/reconstituer.mp3,Creation/Change,Synthesis,Accomplishment
961,péter,to fart/break (slang),french_audio/péter.mp3,Bodily Function,Knowledge,Achievement
962,diminuer,to decrease,french_audio/diminuer.mp3,Existence/State,Knowledge,Activity
963,incarner,to embody,french_audio/incarner.mp3,Existence/State,Analysis,State
964,manier,to handle/wield,french_audio/manier.mp3,Physical Contact,Application,Activity
965,exclure,to exclude,french_audio/exclure.mp3,Activity/Social,Analysis,Achievement
966,agrandir,to enlarge,french_audio/agrandir.mp3,Creation/Change,Application,Achievement
967,accentuer,to accentuate,french_audio/accentuer.mp3,Communication,Application,Achievement
968,corriger,to correct,french_audio/corriger.mp3,Cognition,Evaluation,Achievement
969,fêter,to celebrate,french_audio/fêter.mp3,Activity/Social,Application,Activity
970,reproduire,to reproduce,french_audio/reproduire.mp3,Creation/Change,Synthesis,Accomplishment
971,salir,to soil/dirty,french_audio/salir.mp3,Physical Contact,Knowledge,Achievement
972,gifler,to slap,french_audio/gifler.mp3,Physical Contact,Application,Achievement
973,épier,to spy on,french_audio/épier.mp3,Perception,Analysis,Activity
974,enlacer,to entwine/embrace,french_audio/enlacer.mp3,Physical Contact,Application,Achievement
975,froncer,to frown/gather,french_audio/froncer.mp3,Bodily Function,Knowledge,Achievement
976,questionner,to question,french_audio/questionner.mp3,Communication,Analysis,Activity
977,maquiller,to make up,french_audio/maquiller.mp3,Bodily Function,Application,Accomplishment
978,empiler,to stack,french_audio/empiler.mp3,Physical Contact,Application,Activity
979,progresser,to progress,french_audio/progresser.mp3,Aspectual,Knowledge,Activity
980,déchiffrer,to decipher,french_audio/déchiffrer.mp3,Cognition,Analysis,Achievement
981,souiller,to sully/stain,french_audio/souiller.mp3,Physical Contact,Knowledge,Achievement
982,reparaître,to reappear,french_audio/reparaître.mp3,Existence/State,Knowledge,Achievement
983,gésir,to lie (dead/injured),french_audio/gésir.mp3,Existence/State,Knowledge,State
984,chausser,to put on shoes,french_audio/chausser.mp3,Bodily Function,Application,Achievement
985,parier,to bet,french_audio/parier.mp3,Communication,Evaluation,Achievement
986,dessécher,to dry up,french_audio/dessécher.mp3,Creation/Change,Knowledge,Accomplishment
987,embêter,to bother/annoy,french_audio/embêter.mp3,Emotion/Affect,Application,Activity
988,stopper,to stop,french_audio/stopper.mp3,Aspectual,Knowledge,Achievement
989,interpeller,to call out to,french_audio/interpeller.mp3,Communication,Application,Achievement
990,grouiller,to swarm,french_audio/grouiller.mp3,Motion/Space,Knowledge,Activity
991,scruter,to scrutinize,french_audio/scruter.mp3,Perception,Analysis,Activity
992,braquer,to steer/aim,french_audio/braquer.mp3,Motion/Space,Application,Achievement
993,bander,to bandage/get hard,french_audio/bander.mp3,Physical Contact,Application,Achievement
994,formuler,to formulate,french_audio/formuler.mp3,Communication,Synthesis,Accomplishment
995,survenir,to occur suddenly,french_audio/survenir.mp3,Existence/State,Knowledge,Achievement
996,décourager,to discourage,french_audio/décourager.mp3,Emotion/Affect,Application,Achievement
997,aveugler,to blind,french_audio/aveugler.mp3,Perception,Knowledge,Achievement
998,dépenser,to spend,french_audio/dépenser.mp3,Possession,Application,Activity
999,torturer,to torture,french_audio/torturer.mp3,Activity/Social,Application,Activity
1000,persister,to persist,french_audio/persister.mp3,Existence/State,Analysis,State
1001,choquer,to shock,french_audio/choquer.mp3,Emotion/Affect,Knowledge,Achievement
1002,provenir,to stem/come from,french_audio/provenir.mp3,Existence/State,Analysis,State
1003,escalader,to climb/scale,french_audio/escalader.mp3,Motion/Space,Application,Activity
1004,alourdir,to weigh down,french_audio/alourdir.mp3,Physical Contact,Application,Achievement
1005,assassiner,to assassinate,french_audio/assassiner.mp3,Activity/Social,Application,Achievement
1006,emballer,to pack/wrap,french_audio/emballer.mp3,Physical Contact,Application,Accomplishment
1007,hanter,to haunt,french_audio/hanter.mp3,Emotion/Affect,Knowledge,State
1008,effectuer,to carry out,french_audio/effectuer.mp3,Activity/Social,Application,Accomplishment
1009,discerner,to discern,french_audio/discerner.mp3,Cognition,Analysis,Achievement
1010,pâlir,to turn pale,french_audio/pâlir.mp3,Bodily Function,Knowledge,Achievement
1011,inonder,to flood,french_audio/inonder.mp3,Physical Contact,Application,Achievement
1012,dorer,to brown/gild,french_audio/dorer.mp3,Creation/Change,Application,Accomplishment
1013,supprimer,to delete/remove,french_audio/supprimer.mp3,Physical Contact,Analysis,Achievement
1014,empoisonner,to poison,french_audio/empoisonner.mp3,Physical Contact,Application,Achievement
1015,mater,to subdue/watch,french_audio/mater.mp3,Activity/Social,Application,Achievement
1016,maîtriser,to master,french_audio/maîtriser.mp3,Cognition,Application,State
1017,broder,to embroider,french_audio/broder.mp3,Creation/Change,Synthesis,Accomplishment
1018,couronner,to crown,french_audio/couronner.mp3,Activity/Social,Application,Achievement
1019,méditer,to meditate,french_audio/méditer.mp3,Cognition,Analysis,Activity
1020,chantonner,to hum,french_audio/chantonner.mp3,Communication,Application,Activity
1021,grossir,to get fat/bigger,french_audio/grossir.mp3,Existence/State,Knowledge,Accomplishment
1022,tournoyer,to twirl/whirl,french_audio/tournoyer.mp3,Motion/Space,Application,Activity
1023,enjamber,to step over,french_audio/enjamber.mp3,Motion/Space,Application,Achievement
1024,assumer,to assume/take on,french_audio/assumer.mp3,Cognition,Evaluation,State
1025,flairer,to sniff out/scent,french_audio/flairer.mp3,Perception,Analysis,Achievement
1026,enregistrer,to record,french_audio/enregistrer.mp3,Communication,Application,Achievement
1027,voiler,to veil/cloud,french_audio/voiler.mp3,Physical Contact,Application,Achievement
1028,épanouir,to blossom/bloom,french_audio/épanouir.mp3,Existence/State,Knowledge,Accomplishment
1029,sangloter,to sob,french_audio/sangloter.mp3,Bodily Function,Knowledge,Activity
1030,massacrer,to massacre,french_audio/massacrer.mp3,Activity/Social,Application,Achievement
1031,détailler,to detail,french_audio/détailler.mp3,Communication,Analysis,Activity
1032,arrondir,to round off,french_audio/arrondir.mp3,Creation/Change,Application,Achievement
1033,munir,to equip/provide,french_audio/munir.mp3,Possession,Application,Achievement
1034,résumer,to summarize,french_audio/résumer.mp3,Communication,Comprehension,Accomplishment
1035,retarder,to delay,french_audio/retarder.mp3,Existence/State,Knowledge,Activity
1036,aplatir,to flatten,french_audio/aplatir.mp3,Physical Contact,Application,Achievement
1037,définir,to define,french_audio/définir.mp3,Communication,Knowledge,Achievement
1038,brailler,to bawl/yell,french_audio/brailler.mp3,Communication,Application,Activity
1039,puiser,to draw/dip,french_audio/puiser.mp3,Motion/Space,Application,Activity
1040,désoler,to distress,french_audio/désoler.mp3,Emotion/Affect,Knowledge,State
1041,incruster,to encrust/embed,french_audio/incruster.mp3,Physical Contact,Application,Achievement
1042,débiter,to cut up/debit,french_audio/débiter.mp3,Possession,Application,Activity
1043,compléter,to complete,french_audio/compléter.mp3,Aspectual,Application,Accomplishment
1044,traquer,to track/hunt,french_audio/traquer.mp3,Activity/Social,Application,Activity
1045,raccompagner,to see back,french_audio/raccompagner.mp3,Motion/Space,Application,Achievement
1046,humilier,to humiliate,french_audio/humilier.mp3,Emotion/Affect,Evaluation,Achievement
1047,gâter,to spoil,french_audio/gâter.mp3,Emotion/Affect,Application,Achievement
1048,savourer,to savor,french_audio/savourer.mp3,Perception,Evaluation,Activity
1049,abuser,to abuse,french_audio/abuser.mp3,Activity/Social,Evaluation,Activity
